Activity ID	Resource	Number
189	Mechanical and Electrical	6
190	Builders	1
191	Concreters	1
191	Ready-mix concrete	100
192	Builders	4
193	Builders	2
193	Decorators	3
194	Decorators	6
194	Mechanical and Electrical	7
195	Builders	2
196	Concreters	3
196	Ready-mix concrete	100
197	Builders	5
198	Builders	2
198	Decorators	3
199	Decorators	5
199	Mechanical and Electrical	6
200	Builders	1
201	Concreters	1
201	Ready-mix concrete	100
202	Builders	3
203	Builders	3
203	Decorators	2
204	Decorators	5
204	Mechanical and Electrical	6
205	Builders	3
205	Mobile crane	1
206	Concreters	2
206	Ready-mix concrete	100
207	Builders	4
208	Builders	1
208	Decorators	2
209	Decorators	4
209	Mechanical and Electrical	5
210	Builders	1
211	Concreters	2
211	Ready-mix concrete	100
212	Builders	3
213	Builders	1
213	Decorators	4
214	Decorators	4
214	Mechanical and Electrical	7
215	Builders	2
215	Mobile crane	2
216	Concreters	2
216	Ready-mix concrete	100
217	Builders	4
218	Builders	2
218	Decorators	4
219	Decorators	4
219	Mechanical and Electrical	5
220	Builders	1
220	Mobile crane	2
221	Concreters	2
221	Ready-mix concrete	100
222	Builders	3
223	Builders	2
223	Decorators	3
224	Decorators	4
224	Mechanical and Electrical	5
225	Builders	3
225	Mobile crane	1
226	Concreters	3
226	Ready-mix concrete	100
227	Builders	5
228	Builders	2
228	Decorators	4
229	Decorators	6
229	Mechanical and Electrical	5
230	Builders	2
230	Mobile crane	1
231	Concreters	3
231	Ready-mix concrete	100
232	Builders	5
233	Builders	3
233	Decorators	4
234	Decorators	6
234	Mechanical and Electrical	7
235	Builders	3
235	Mobile crane	2
236	Concreters	1
236	Ready-mix concrete	100
237	Builders	4
238	Builders	3
238	Decorators	2
239	Decorators	4
239	Mechanical and Electrical	7
240	Builders	3
241	Concreters	3
241	Ready-mix concrete	100
242	Builders	5
243	Builders	3
243	Decorators	3
244	Decorators	4
244	Mechanical and Electrical	5
245	Builders	3
246	Concreters	1
246	Ready-mix concrete	100
247	Builders	4
248	Builders	1
248	Decorators	2
249	Decorators	6
249	Mechanical and Electrical	6
250	Builders	2
250	Mobile crane	1
